,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,crs_arr_time,dup,crs_elapsed_time,flights,distance
41,2020-01-13,UA,UA,UA,1149,UA,N67134,1149,11618,EWR,"Newark, NJ",13204,MCO,"Orlando, FL",2145,36,N,171,1,937
42,2020-01-07,WN,WN,WN,1715,WN,N8530W,1715,14679,SAN,"San Diego, CA",14893,SMF,"Sacramento, CA",1300,1435,N,95,1,480
43,2020-01-31,AA,AA,AA,1837,AA,N108UW,1837,14027,PBI,"West Palm Beach/Palm Beach, FL",11278,DCA,"Washington, DC",1037,1259,N,142,1,857
44,2020-01-30,B6,B6,B6,324,B6,N961JT,324,12892,LAX,"Los Angeles, CA",12478,JFK,"New York, NY",1005,1827,N,322,1,2475
45,2020-01-21,DL,DL,DL,1559,DL,N592NW,1559,12892,LAX,"Los Angeles, CA",12173,HNL,"Honolulu, HI",1605,2020,N,375,1,2556
46,2020-01-01,UA,UA_CODESHARE,UA,3836,ZW,N468AW,3836,12197,HPN,"White Plains, NY",13930,ORD,"Chicago, IL",1811,1958,N,167,1,738
47,2020-01-10,DL,DL_CODESHARE,DL,6066,YX,N872RW,6066,10397,ATL,"Atlanta, GA",12124,HHH,"Hilton Head, SC",855,1012,N,77,1,238
48,2020-01-15,AA,AA_CODESHARE,AA,5944,YV,N928LR,5944,11298,DFW,"Dallas/Fort Worth, TX",10561,BFL,"Bakersfield, CA",912,1049,N,217,1,1271
49,2020-01-20,WN,WN,WN,1648,WN,N7883A,1648,10397,ATL,"Atlanta, GA",15016,STL,"St. Louis, MO",1930,2015,N,105,1,484
50,2020-01-09,DL,DL,DL,1294,DL,N927DN,1294,10397,ATL,"Atlanta, GA",14492,RDU,"Raleigh/Durham, NC",910,1031,N,81,1,356
51,2020-01-30,AS,AS_CODESHARE,AS,3411,OO,N195SY,3411,11884,GEG,"Spokane, WA",14747,SEA,"Seattle, WA",500,622,N,82,1,224
52,2020-01-11,DL,DL,DL,2047,DL,N922DZ,2047,15304,TPA,"Tampa, FL",10397,ATL,"Atlanta, GA",1656,1835,N,99,1,406
53,2020-01-12,UA,UA_CODESHARE,UA,6201,YV,N521LR,6201,12264,IAD,"Washington, DC",10397,ATL,"Atlanta, GA",1245,1448,N,123,1,534
54,2020-01-14,AS,AS_CODESHARE,AS,3375,OO,N188SY,3375,10849,BZN,"Bozeman, MT",14747,SEA,"Seattle, WA",1735,1840,N,125,1,543
55,2020-01-12,WN,WN,WN,4812,WN,N257WN,4812,12892,LAX,"Los Angeles, CA",11259,DAL,"Dallas, TX",1245,1745,N,180,1,1246
56,2020-01-03,WN,WN,WN,2354,WN,N7811F,2354,10423,AUS,"Austin, TX",11292,DEN,"Denver, CO",910,1030,N,140,1,775
57,2020-01-17,NK,NK,NK,570,NK,N508NK,570,11697,FLL,"Fort Lauderdale, FL",15304,TPA,"Tampa, FL",904,1009,N,65,1,197
58,2020-01-25,DL,DL_CODESHARE,DL,3631,OO,N255SY,3631,14869,SLC,"Salt Lake City, UT",11603,EUG,"Eugene, OR",2025,2137,N,132,1,618
59,2020-01-22,UA,UA_CODESHARE,UA,6113,YV,N502MJ,6113,11193,CVG,"Cincinnati, OH",12264,IAD,"Washington, DC",1945,2106,N,81,1,388
60,2020-01-13,WN,WN,WN,1980,WN,N222WN,1980,14893,SMF,"Sacramento, CA",14747,SEA,"Seattle, WA",1230,1430,N,120,1,605
61,2020-01-05,AA,AA,AA,74,AA,N815AA,74,12173,HNL,"Honolulu, HI",13930,ORD,"Chicago, IL",1930,713,N,463,1,4243
62,2020-01-31,WN,WN,WN,2106,WN,N8512U,2106,14492,RDU,"Raleigh/Durham, NC",10397,ATL,"Atlanta, GA",1850,2025,N,95,1,356
63,2020-01-20,WN,WN,WN,2085,WN,N420WN,2085,14107,PHX,"Phoenix, AZ",12889,LAS,"Las Vegas, NV",1325,1335,N,70,1,255
64,2020-01-18,UA,UA_CODESHARE,UA,5446,OO,N979SW,5446,14689,SBA,"Santa Barbara, CA",14771,SFO,"San Francisco, CA",1025,1147,N,82,1,262
65,2020-01-11,DL,DL_CODESHARE,DL,4227,OO,N936SW,4227,12003,GTF,"Great Falls, MT",14869,SLC,"Salt Lake City, UT",1430,1614,N,104,1,463
66,2020-01-16,DL,DL,DL,2219,DL,N881DN,2219,12478,JFK,"New York, NY",11292,DEN,"Denver, CO",2040,2332,N,292,1,1626
67,2020-01-10,NK,NK,NK,975,NK,N629NK,975,11433,DTW,"Detroit, MI",11292,DEN,"Denver, CO",1749,1913,N,204,1,1123
68,2020-01-10,AA,AA_CODESHARE,AA,4533,YX,N128HQ,4533,14122,PIT,"Pittsburgh, PA",11278,DCA,"Washington, DC",1538,1659,N,81,1,204
69,2020-01-30,DL,DL_CODESHARE,DL,3779,OO,N899SK,3779,11433,DTW,"Detroit, MI",11066,CMH,"Columbus, OH",1605,1712,N,67,1,155
70,2020-01-29,UA,UA,UA,560,UA,N53441,560,12264,IAD,"Washington, DC",14771,SFO,"San Francisco, CA",1600,1912,N,372,1,2419
71,2020-01-17,WN,WN,WN,52,WN,N447WN,52,12191,HOU,"Houston, TX",11259,DAL,"Dallas, TX",1900,2010,N,70,1,239
72,2020-01-09,AA,AA,AA,1244,AA,N177XF,1244,10994,CHS,"Charleston, SC",11057,CLT,"Charlotte, NC",505,613,N,68,1,168
73,2020-01-01,WN,WN,WN,4057,WN,N7857B,4057,14679,SAN,"San Diego, CA",14771,SFO,"San Francisco, CA",1550,1725,N,95,1,447
74,2020-01-02,AA,AA,AA,1875,AA,N534UW,1875,15304,TPA,"Tampa, FL",14100,PHL,"Philadelphia, PA",1200,1429,N,149,1,920
75,2020-01-19,AA,AA,AA,1569,AA,N854NN,1569,14107,PHX,"Phoenix, AZ",10721,BOS,"Boston, MA",952,1648,N,296,1,2300
76,2020-01-07,DL,DL_CODESHARE,DL,3907,OO,N554CA,3907,10529,BDL,"Hartford, CT",11433,DTW,"Detroit, MI",1946,2150,N,124,1,549
77,2020-01-30,WN,WN,WN,1599,WN,N918WN,1599,11697,FLL,"Fort Lauderdale, FL",10397,ATL,"Atlanta, GA",605,800,N,115,1,581
78,2020-01-07,DL,DL_CODESHARE,DL,5132,9E,N908XJ,5132,11042,CLE,"Cleveland, OH",13487,MSP,"Minneapolis, MN",1020,1132,N,132,1,622
79,2020-01-12,UA,UA_CODESHARE,UA,6110,YV,N89304,6110,12264,IAD,"Washington, DC",10423,AUS,"Austin, TX",830,1126,N,236,1,1297
80,2020-01-04,DL,DL,DL,643,DL,N382DA,643,12478,JFK,"New York, NY",14831,SJC,"San Jose, CA",805,1148,N,403,1,2569
81,2020-01-22,DL,DL,DL,1562,DL,N3759,1562,14107,PHX,"Phoenix, AZ",14747,SEA,"Seattle, WA",1949,2207,N,198,1,1107
82,2020-01-11,AA,AA,AA,1606,AA,N127UW,1606,14635,RSW,"Fort Myers, FL",14100,PHL,"Philadelphia, PA",855,1131,N,156,1,993
83,2020-01-31,UA,UA_CODESHARE,UA,3895,ZW,N418AW,3895,13296,MHT,"Manchester, NH",12264,IAD,"Washington, DC",1440,1625,N,105,1,418
84,2020-01-22,AS,AS,AS,209,AS,N613AS,209,13796,OAK,"Oakland, CA",14747,SEA,"Seattle, WA",1230,1440,N,130,1,672
85,2020-01-28,DL,DL,DL,2155,DL,N590NW,2155,14869,SLC,"Salt Lake City, UT",10397,ATL,"Atlanta, GA",646,1227,N,221,1,1590
86,2020-01-24,WN,WN,WN,1656,WN,N298WN,1656,10721,BOS,"Boston, MA",10821,BWI,"Baltimore, MD",1910,2100,N,110,1,369
87,2020-01-15,UA,UA_CODESHARE,UA,5928,OO,N202SY,5928,10620,BIL,"Billings, MT",11292,DEN,"Denver, CO",1758,1937,N,99,1,455
88,2020-01-17,AA,AA_CODESHARE,AA,5668,OH,N237PS,5668,11057,CLT,"Charlotte, NC",11146,CRW,"Charleston/Dunbar, WV",1110,1218,N,68,1,221
89,2020-01-26,DL,DL_CODESHARE,DL,5930,YX,N208JQ,5930,10721,BOS,"Boston, MA",10693,BNA,"Nashville, TN",1822,2041,N,199,1,942
90,2020-01-23,AA,AA_CODESHARE,AA,3795,MQ,N279MQ,3795,14783,SGF,"Springfield, MO",11298,DFW,"Dallas/Fort Worth, TX",1412,1547,N,95,1,364
91,2020-01-24,UA,UA,UA,762,UA,N658UA,762,12264,IAD,"Washington, DC",12266,IAH,"Houston, TX",825,1102,N,217,1,1190
92,2020-01-27,DL,DL,DL,2585,DL,N991AT,2585,10397,ATL,"Atlanta, GA",11057,CLT,"Charlotte, NC",2245,2355,N,70,1,226
93,2020-01-27,WN,WN,WN,333,WN,N7811F,333,11884,GEG,"Spokane, WA",13796,OAK,"Oakland, CA",520,730,N,130,1,723
94,2020-01-14,HA,HA,HA,256,HA,N494HA,256,12173,HNL,"Honolulu, HI",13830,OGG,"Kahului, HI",1140,1225,N,45,1,100
95,2020-01-31,AA,AA,AA,2525,AA,N558UW,2525,13204,MCO,"Orlando, FL",14100,PHL,"Philadelphia, PA",1921,2144,N,143,1,861
96,2020-01-24,WN,WN,WN,5741,WN,N8624J,5741,14122,PIT,"Pittsburgh, PA",12889,LAS,"Las Vegas, NV",645,905,N,320,1,1910
97,2020-01-04,AA,AA,AA,855,AA,N917UY,855,11298,DFW,"Dallas/Fort Worth, TX",11057,CLT,"Charlotte, NC",1815,2138,N,143,1,936
98,2020-01-24,DL,DL_CODESHARE,DL,3982,OO,N187PQ,3982,10257,ALB,"Albany, NY",11433,DTW,"Detroit, MI",1729,1934,N,125,1,489
99,2020-01-03,WN,WN,WN,1173,WN,N771SA,1173,14492,RDU,"Raleigh/Durham, NC",15304,TPA,"Tampa, FL",1955,2150,N,115,1,587
100,2020-01-30,UA,UA,UA,2351,UA,N893UA,2351,14689,SBA,"Santa Barbara, CA",11292,DEN,"Denver, CO",1255,1625,N,150,1,916
101,2020-01-09,WN,WN,WN,5716,WN,N294WN,5716,13244,MEM,"Memphis, TN",12191,HOU,"Houston, TX",555,745,N,110,1,484
102,2020-01-17,AA,AA_CODESHARE,AA,3466,MQ,N274NN,3466,11298,DFW,"Dallas/Fort Worth, TX",11996,GSP,"Greer, SC",1601,1914,N,133,1,862
103,2020-01-29,HA,HA,HA,198,HA,N495HA,198,12173,HNL,"Honolulu, HI",12758,KOA,"Kona, HI",902,950,N,48,1,163
104,2020-01-19,DL,DL_CODESHARE,DL,3608,OO,N838SK,3608,11433,DTW,"Detroit, MI",12197,HPN,"White Plains, NY",1541,1729,N,108,1,505
105,2020-01-19,F9,F9,F9,2879,F9,N336FR,2879,12953,LGA,"New York, NY",13303,MIA,"Miami, FL",2247,159,N,192,1,1096
106,2020-01-08,UA,UA,UA,1485,UA,N423UA,1485,12266,IAH,"Houston, TX",14869,SLC,"Salt Lake City, UT",950,1220,N,210,1,1195
107,2020-01-17,DL,DL,DL,2401,DL,N332NW,2401,14771,SFO,"San Francisco, CA",14869,SLC,"Salt Lake City, UT",600,859,N,119,1,599
108,2020-01-09,DL,DL_CODESHARE,DL,4060,OO,N244SY,4060,12892,LAX,"Los Angeles, CA",10713,BOI,"Boise, ID",1905,2212,N,127,1,674
109,2020-01-19,AS,AS_CODESHARE,AS,3454,OO,N173SY,3454,14893,SMF,"Sacramento, CA",14679,SAN,"San Diego, CA",1110,1245,N,95,1,480
110,2020-01-28,UA,UA_CODESHARE,UA,4531,G7,N538GJ,4531,13930,ORD,"Chicago, IL",11423,DSM,"Des Moines, IA",1300,1434,N,94,1,299
111,2020-01-07,AA,AA,AA,2046,AA,N535UW,2046,15304,TPA,"Tampa, FL",11057,CLT,"Charlotte, NC",1202,1348,N,106,1,507
112,2020-01-17,AA,AA_CODESHARE,AA,5824,YV,N939LR,5824,12266,IAH,"Houston, TX",14107,PHX,"Phoenix, AZ",1450,1656,N,186,1,1009
113,2020-01-25,DL,DL,DL,1461,DL,N541US,1461,12892,LAX,"Los Angeles, CA",11433,DTW,"Detroit, MI",705,1422,N,257,1,1979
114,2020-01-23,DL,DL_CODESHARE,DL,3929,OO,N263SY,3929,11618,EWR,"Newark, NJ",13487,MSP,"Minneapolis, MN",1435,1657,N,202,1,1008
115,2020-01-29,WN,WN,WN,1,WN,N8311Q,1,12191,HOU,"Houston, TX",12892,LAX,"Los Angeles, CA",900,1055,N,235,1,1390
116,2020-01-05,AA,AA,AA,764,AA,N891NN,764,11298,DFW,"Dallas/Fort Worth, TX",12953,LGA,"New York, NY",745,1200,N,195,1,1389
117,2020-01-07,DL,DL_CODESHARE,DL,4179,OO,N271SY,4179,13244,MEM,"Memphis, TN",13487,MSP,"Minneapolis, MN",1145,1401,N,136,1,700
118,2020-01-08,AS,AS,AS,529,AS,N285AK,529,10800,BUR,"Burbank, CA",14747,SEA,"Seattle, WA",1505,1750,N,165,1,937
119,2020-01-23,AA,AA,AA,1449,AA,N9026C,1449,11986,GRR,"Grand Rapids, MI",11298,DFW,"Dallas/Fort Worth, TX",1432,1634,N,182,1,931
120,2020-01-30,WN,WN,WN,1727,WN,N954WN,1727,13487,MSP,"Minneapolis, MN",13232,MDW,"Chicago, IL",735,915,N,100,1,349
121,2020-01-08,AA,AA_CODESHARE,AA,5398,OH,N706PS,5398,11267,DAY,"Dayton, OH",14100,PHL,"Philadelphia, PA",1801,1935,N,94,1,477
122,2020-01-25,UA,UA,UA,461,UA,N66828,461,11292,DEN,"Denver, CO",12264,IAD,"Washington, DC",1325,1834,N,189,1,1452
123,2020-01-06,UA,UA_CODESHARE,UA,5218,OO,N108SY,5218,12266,IAH,"Houston, TX",14869,SLC,"Salt Lake City, UT",1815,2050,N,215,1,1195
124,2020-01-31,AA,AA_CODESHARE,AA,4966,PT,N645AE,4966,14100,PHL,"Philadelphia, PA",10135,ABE,"Allentown/Bethlehem/Easton, PA",2120,2206,N,46,1,55
125,2020-01-26,WN,WN,WN,3400,WN,N7865A,3400,14683,SAT,"San Antonio, TX",14107,PHX,"Phoenix, AZ",1855,2030,N,155,1,843
126,2020-01-19,B6,B6,B6,1486,B6,N339JB,1486,14122,PIT,"Pittsburgh, PA",10721,BOS,"Boston, MA",1030,1204,N,94,1,496
127,2020-01-22,NK,NK,NK,1651,NK,N693NK,1651,10693,BNA,"Nashville, TN",15304,TPA,"Tampa, FL",705,1005,N,120,1,612
128,2020-01-17,UA,UA,UA,338,UA,N479UA,338,11292,DEN,"Denver, CO",11423,DSM,"Des Moines, IA",1715,2000,N,105,1,589
129,2020-01-29,UA,UA_CODESHARE,UA,5773,OO,N923SW,5773,14696,SBN,"South Bend, IN",13930,ORD,"Chicago, IL",1830,1836,N,66,1,84
130,2020-01-29,AA,AA_CODESHARE,AA,4202,MQ,N259NN,4202,11986,GRR,"Grand Rapids, MI",11298,DFW,"Dallas/Fort Worth, TX",1944,2139,N,175,1,931
131,2020-01-08,UA,UA,UA,1462,UA,N73283,1462,14747,SEA,"Seattle, WA",11292,DEN,"Denver, CO",840,1230,N,170,1,1024
132,2020-01-16,AS,AS_CODESHARE,AS,3362,OO,N184SY,3362,14747,SEA,"Seattle, WA",11884,GEG,"Spokane, WA",1445,1548,N,63,1,224
133,2020-01-17,UA,UA,UA,426,UA,N76515,426,11618,EWR,"Newark, NJ",13930,ORD,"Chicago, IL",759,941,N,162,1,719
134,2020-01-14,B6,B6,B6,2617,B6,N296JB,2617,12451,JAX,"Jacksonville, FL",11697,FLL,"Fort Lauderdale, FL",1934,2053,N,79,1,319
135,2020-01-06,WN,WN,WN,1988,WN,N7716A,1988,12896,LBB,"Lubbock, TX",11292,DEN,"Denver, CO",715,750,N,95,1,456
136,2020-01-22,UA,UA_CODESHARE,UA,4878,C5,N13202,4878,11066,CMH,"Columbus, OH",11618,EWR,"Newark, NJ",1920,2121,N,121,1,463
137,2020-01-20,WN,WN,WN,1496,WN,N441WN,1496,10792,BUF,"Buffalo, NY",10821,BWI,"Baltimore, MD",1110,1230,N,80,1,281
138,2020-01-11,DL,DL,DL,284,DL,N707DN,284,12892,LAX,"Los Angeles, CA",10397,ATL,"Atlanta, GA",745,1443,N,238,1,1947
139,2020-01-03,UA,UA_CODESHARE,UA,4026,EV,N611UX,4026,12266,IAH,"Houston, TX",14122,PIT,"Pittsburgh, PA",936,1320,N,164,1,1117
140,2020-01-05,HA,HA,HA,240,HA,N477HA,240,12982,LIH,"Lihue, HI",13830,OGG,"Kahului, HI",1131,1220,N,49,1,201
141,2020-01-06,AA,AA_CODESHARE,AA,3878,MQ,N824AE,3878,12478,JFK,"New York, NY",14492,RDU,"Raleigh/Durham, NC",2135,2331,N,116,1,427
142,2020-01-06,UA,UA_CODESHARE,UA,5520,OO,N153SY,5520,12451,JAX,"Jacksonville, FL",13930,ORD,"Chicago, IL",1305,1454,N,169,1,864
143,2020-01-20,AA,AA,AA,249,AA,N151AN,249,11298,DFW,"Dallas/Fort Worth, TX",14683,SAT,"San Antonio, TX",1425,1538,N,73,1,247
144,2020-01-27,UA,UA_CODESHARE,UA,3898,ZW,N445AW,3898,13930,ORD,"Chicago, IL",13029,LNK,"Lincoln, NE",830,1021,N,111,1,466
145,2020-01-03,WN,WN,WN,928,WN,N782SA,928,11292,DEN,"Denver, CO",12892,LAX,"Los Angeles, CA",1500,1640,N,160,1,862
146,2020-01-10,AA,AA_CODESHARE,AA,5995,YV,N953LR,5995,11298,DFW,"Dallas/Fort Worth, TX",10980,CHA,"Chattanooga, TN",1050,1349,N,119,1,695
147,2020-01-07,WN,WN,WN,2119,WN,N292WN,2119,14893,SMF,"Sacramento, CA",13891,ONT,"Ontario, CA",1710,1830,N,80,1,390
148,2020-01-20,DL,DL_CODESHARE,DL,3952,OO,N457SW,3952,13487,MSP,"Minneapolis, MN",11337,DLH,"Duluth, MN",1150,1255,N,65,1,144
149,2020-01-06,AA,AA_CODESHARE,AA,5974,YV,N921FJ,5974,11298,DFW,"Dallas/Fort Worth, TX",12448,JAN,"Jackson/Vicksburg, MS",2040,2213,N,93,1,408
150,2020-01-31,WN,WN,WN,346,WN,N456WN,346,11259,DAL,"Dallas, TX",13158,MAF,"Midland/Odessa, TX",1040,1155,N,75,1,319
151,2020-01-19,AA,AA,AA,2794,AA,N191UW,2794,11057,CLT,"Charlotte, NC",11618,EWR,"Newark, NJ",2040,2238,N,118,1,529
152,2020-01-06,UA,UA,UA,514,UA,N824UA,514,11697,FLL,"Fort Lauderdale, FL",12266,IAH,"Houston, TX",1142,1340,N,178,1,966
153,2020-01-09,DL,DL,DL,1897,DL,N858DZ,1897,10721,BOS,"Boston, MA",12889,LAS,"Las Vegas, NV",1005,1337,N,392,1,2381
154,2020-01-12,DL,DL_CODESHARE,DL,4161,OO,N427SW,4161,14696,SBN,"South Bend, IN",11433,DTW,"Detroit, MI",805,924,N,79,1,157
155,2020-01-06,AA,AA_CODESHARE,AA,4916,PT,N604AE,4916,14524,RIC,"Richmond, VA",14100,PHL,"Philadelphia, PA",1039,1143,N,64,1,198
156,2020-01-07,WN,WN,WN,791,WN,N7877H,791,13232,MDW,"Chicago, IL",10599,BHM,"Birmingham, AL",1410,1555,N,105,1,570
157,2020-01-14,AA,AA,AA,201,AA,N567UW,201,14908,SNA,"Santa Ana, CA",14107,PHX,"Phoenix, AZ",645,914,N,89,1,338
158,2020-01-18,AA,AA_CODESHARE,AA,4519,YX,N424YX,4519,15919,XNA,"Fayetteville, AR",13303,MIA,"Miami, FL",514,902,N,168,1,1099
159,2020-01-14,HA,HA_CODESHARE,HA,649,EM,,649,12492,JHM,"Kapalua, HI",12173,HNL,"Honolulu, HI",1324,1359,N,35,1,84
160,2020-01-15,AA,AA,AA,2114,AA,N981UY,2114,13204,MCO,"Orlando, FL",11057,CLT,"Charlotte, NC",1010,1157,N,107,1,468
161,2020-01-10,WN,WN,WN,1114,WN,N442WN,1114,13296,MHT,"Manchester, NH",10821,BWI,"Baltimore, MD",910,1055,N,105,1,377
162,2020-01-24,DL,DL_CODESHARE,DL,3852,OO,N441SW,3852,12007,GTR,"Columbus, MS",10397,ATL,"Atlanta, GA",940,1205,N,85,1,241
163,2020-01-27,DL,DL,DL,2271,DL,N328DN,2271,10397,ATL,"Atlanta, GA",14107,PHX,"Phoenix, AZ",1359,1621,N,262,1,1587
164,2020-01-16,G4,G4,G4,2963,G4,230NV,2963,11721,FNT,"Flint, MI",14986,SRQ,"Sarasota/Bradenton, FL",1113,1359,N,166,1,1075
165,2020-01-31,UA,UA,UA,1778,UA,N37273,1778,13930,ORD,"Chicago, IL",14986,SRQ,"Sarasota/Bradenton, FL",800,1148,N,168,1,1050
166,2020-01-01,AS,AS,AS,472,AS,N409AS,472,14747,SEA,"Seattle, WA",12892,LAX,"Los Angeles, CA",650,940,N,170,1,954
