,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
10,2019-03-17,AA,AA,AA,1836,AA,N573UW,1836,14843,SJU,"San Juan, PR",11057,CLT,"Charlotte, NC",736,729.0,-7.0,21.0,750.0,1106.0,6.0,1140,1112.0,-28.0,0.0,,0.0,N,244.0,223.0,196.0,1.0,1475.0,,,,,,,,,
11,2018-02-05,B6,B6,B6,532,B6,N708JB,532,12954,LGB,"Long Beach, CA",14869,SLC,"Salt Lake City, UT",1537,1535.0,-2.0,12.0,1547.0,1809.0,3.0,1821,1812.0,-9.0,0.0,,0.0,N,104.0,97.0,82.0,1.0,588.0,,,,,,,,,
12,2019-06-22,DL,DL,DL,1189,DL,N3741S,1189,14869,SLC,"Salt Lake City, UT",10821,BWI,"Baltimore, MD",955,949.0,-6.0,22.0,1011.0,1554.0,9.0,1609,1603.0,-6.0,0.0,,0.0,N,254.0,254.0,223.0,1.0,1865.0,,,,,,,,,
13,2019-08-26,WN,WN,WN,1798,WN,N780SW,1798,14908,SNA,"Santa Ana, CA",14831,SJC,"San Jose, CA",925,941.0,16.0,9.0,950.0,1041.0,3.0,1045,1044.0,-1.0,0.0,,0.0,N,80.0,63.0,51.0,1.0,342.0,,,,,,,,,
14,2018-01-18,AA,AA_CODESHARE,AA,2822,EV,N612QX,2822,11298,DFW,"Dallas/Fort Worth, TX",10781,BTR,"Baton Rouge, LA",1621,1619.0,-2.0,15.0,1634.0,1730.0,3.0,1743,1733.0,-10.0,0.0,,0.0,N,82.0,74.0,56.0,1.0,383.0,,,,,,,,,
15,2018-01-01,DL,DL_CODESHARE,DL,4015,9E,N295PQ,4015,12478,JFK,"New York, NY",10721,BOS,"Boston, MA",1125,1143.0,18.0,33.0,1216.0,1254.0,8.0,1245,1302.0,17.0,0.0,,0.0,N,80.0,79.0,38.0,1.0,187.0,4.0,0.0,0.0,0.0,13.0,,,,
16,2018-10-28,UA,UA,UA,2184,UA,N69833,2184,12892,LAX,"Los Angeles, CA",12889,LAS,"Las Vegas, NV",830,906.0,36.0,25.0,931.0,1015.0,9.0,939,1024.0,45.0,0.0,,0.0,N,69.0,78.0,44.0,1.0,236.0,0.0,0.0,45.0,0.0,0.0,,,,
17,2018-05-29,DL,DL,DL,1665,DL,N894DN,1665,12889,LAS,"Las Vegas, NV",12478,JFK,"New York, NY",1024,1023.0,-1.0,17.0,1040.0,1810.0,7.0,1840,1817.0,-23.0,0.0,,0.0,N,316.0,294.0,270.0,1.0,2248.0,,,,,,,,,
18,2018-07-30,WN,WN,WN,211,WN,N8706W,211,10693,BNA,"Nashville, TN",14679,SAN,"San Diego, CA",825,824.0,-1.0,15.0,839.0,1032.0,5.0,1030,1037.0,7.0,0.0,,0.0,N,245.0,253.0,233.0,1.0,1751.0,,,,,,,,,
19,2018-03-21,DL,DL,DL,2975,DL,N952DN,2975,13487,MSP,"Minneapolis, MN",11292,DEN,"Denver, CO",1145,1138.0,-7.0,22.0,1200.0,1240.0,9.0,1251,1249.0,-2.0,0.0,,0.0,N,126.0,131.0,100.0,1.0,680.0,,,,,,,,,
20,2019-04-07,NK,NK,NK,256,NK,N627NK,256,14635,RSW,"Fort Myers, FL",10721,BOS,"Boston, MA",1121,1116.0,-5.0,14.0,1130.0,1414.0,8.0,1439,1422.0,-17.0,0.0,,0.0,N,198.0,186.0,164.0,1.0,1249.0,,,,,,,,,
21,2019-08-02,WN,WN,WN,1104,WN,N765SW,1104,15304,TPA,"Tampa, FL",11278,DCA,"Washington, DC",1635,1627.0,-8.0,7.0,1634.0,1829.0,2.0,1855,1831.0,-24.0,0.0,,0.0,N,140.0,124.0,115.0,1.0,814.0,,,,,,,,,
22,2018-05-30,UA,UA_CODESHARE,UA,5274,OO,N120SY,5274,10713,BOI,"Boise, ID",13930,ORD,"Chicago, IL",840,831.0,-9.0,13.0,844.0,1303.0,13.0,1320,1316.0,-4.0,0.0,,0.0,N,220.0,225.0,199.0,1.0,1437.0,,,,,,,,,
23,2019-07-27,UA,UA,UA,254,UA,N34222,254,14107,PHX,"Phoenix, AZ",11292,DEN,"Denver, CO",1347,1341.0,-6.0,18.0,1359.0,1700.0,8.0,1633,1708.0,35.0,0.0,,0.0,N,106.0,147.0,121.0,1.0,602.0,0.0,0.0,35.0,0.0,0.0,,,,
24,2019-09-27,DL,DL,DL,839,DL,N353NW,839,11278,DCA,"Washington, DC",10397,ATL,"Atlanta, GA",600,556.0,-4.0,13.0,609.0,727.0,8.0,748,735.0,-13.0,0.0,,0.0,N,108.0,99.0,78.0,1.0,547.0,,,,,,,,,
25,2019-12-20,DL,DL_CODESHARE,DL,5120,9E,N8683B,5120,12478,JFK,"New York, NY",10785,BTV,"Burlington, VT",1236,1231.0,-5.0,22.0,1253.0,1344.0,6.0,1411,1350.0,-21.0,0.0,,0.0,N,95.0,79.0,51.0,1.0,266.0,,,,,,,,,
26,2018-04-22,WN,WN,WN,2665,WN,N420WN,2665,12992,LIT,"Little Rock, AR",11259,DAL,"Dallas, TX",1150,1148.0,-2.0,6.0,1154.0,1246.0,2.0,1255,1248.0,-7.0,0.0,,0.0,N,65.0,60.0,52.0,1.0,296.0,,,,,,,,,
27,2018-08-02,UA,UA,UA,255,UA,N806UA,255,10423,AUS,"Austin, TX",12264,IAD,"Washington, DC",1145,1138.0,-7.0,23.0,1201.0,1542.0,6.0,1550,1548.0,-2.0,0.0,,0.0,N,185.0,190.0,161.0,1.0,1297.0,,,,,,,,,
28,2018-01-11,DL,DL,DL,1909,DL,N966DL,1909,12266,IAH,"Houston, TX",10397,ATL,"Atlanta, GA",1840,2110.0,150.0,15.0,2125.0,2349.0,7.0,2144,2356.0,132.0,0.0,,0.0,N,124.0,106.0,84.0,1.0,689.0,0.0,2.0,0.0,0.0,130.0,,,,
29,2019-12-09,WN,WN,WN,1404,WN,N7857B,1404,13487,MSP,"Minneapolis, MN",13198,MCI,"Kansas City, MO",510,509.0,-1.0,30.0,539.0,641.0,4.0,635,645.0,10.0,0.0,,0.0,N,85.0,96.0,62.0,1.0,393.0,,,,,,,,,
30,2019-07-20,UA,UA,UA,607,UA,N18220,607,13930,ORD,"Chicago, IL",15096,SYR,"Syracuse, NY",1800,1910.0,70.0,11.0,1921.0,2150.0,5.0,2058,2155.0,57.0,0.0,,0.0,N,118.0,105.0,89.0,1.0,607.0,0.0,2.0,0.0,0.0,55.0,,,,
31,2019-04-20,DL,DL,DL,367,DL,N983AT,367,11057,CLT,"Charlotte, NC",11433,DTW,"Detroit, MI",1740,1756.0,16.0,14.0,1810.0,1923.0,7.0,1930,1930.0,0.0,0.0,,0.0,N,110.0,94.0,73.0,1.0,500.0,,,,,,,,,
32,2018-11-21,HA,HA,HA,332,HA,N477HA,332,12173,HNL,"Honolulu, HI",12402,ITO,"Hilo, HI",703,656.0,-7.0,11.0,707.0,741.0,5.0,756,746.0,-10.0,0.0,,0.0,N,53.0,50.0,34.0,1.0,216.0,,,,,,,,,
33,2018-10-22,F9,F9,F9,533,F9,N308FR,533,11292,DEN,"Denver, CO",14570,RNO,"Reno, NV",735,738.0,3.0,12.0,750.0,838.0,5.0,856,843.0,-13.0,0.0,,0.0,N,141.0,125.0,108.0,1.0,804.0,,,,,,,,,
34,2019-07-15,WN,WN,WN,439,WN,N754SW,439,11292,DEN,"Denver, CO",13487,MSP,"Minneapolis, MN",735,733.0,-2.0,13.0,746.0,1011.0,4.0,1030,1015.0,-15.0,0.0,,0.0,N,115.0,102.0,85.0,1.0,680.0,,,,,,,,,
35,2019-01-04,DL,DL_CODESHARE,DL,5256,9E,N279PQ,5256,12953,LGA,"New York, NY",10792,BUF,"Buffalo, NY",1800,1755.0,-5.0,22.0,1817.0,1906.0,4.0,1936,1910.0,-26.0,0.0,,0.0,N,96.0,75.0,49.0,1.0,292.0,,,,,,,,,
36,2019-08-24,AS,AS_CODESHARE,AS,2391,QX,N433QX,2391,10713,BOI,"Boise, ID",14747,SEA,"Seattle, WA",945,940.0,-5.0,19.0,959.0,1032.0,9.0,1020,1041.0,21.0,0.0,,0.0,N,95.0,121.0,93.0,1.0,399.0,0.0,0.0,21.0,0.0,0.0,,,,
37,2018-06-22,G4,G4,G4,737,G4,429NV,737,10581,BGR,"Bangor, ME",14761,SFB,"Sanford, FL",1029,1022.0,-7.0,8.0,1030.0,1313.0,7.0,1343,1320.0,-23.0,0.0,,0.0,N,194.0,178.0,163.0,1.0,1299.0,,,,,,,,,
38,2019-02-17,WN,WN,WN,4782,WN,N262WN,4782,14869,SLC,"Salt Lake City, UT",11292,DEN,"Denver, CO",800,800.0,0.0,11.0,811.0,907.0,7.0,940,914.0,-26.0,0.0,,0.0,N,100.0,74.0,56.0,1.0,391.0,,,,,,,,,
39,2018-05-01,UA,UA_CODESHARE,UA,3873,ZW,N414ZW,3873,12264,IAD,"Washington, DC",13230,MDT,"Harrisburg, PA",2205,2155.0,-10.0,17.0,2212.0,2234.0,7.0,2258,2241.0,-17.0,0.0,,0.0,N,53.0,46.0,22.0,1.0,94.0,,,,,,,,,
40,2018-05-03,WN,WN,WN,1522,WN,N8569Z,1522,14122,PIT,"Pittsburgh, PA",14635,RSW,"Fort Myers, FL",645,720.0,35.0,14.0,734.0,938.0,3.0,920,941.0,21.0,0.0,,0.0,N,155.0,141.0,124.0,1.0,966.0,21.0,0.0,0.0,0.0,0.0,,,,
41,2018-08-18,AA,AA,AA,526,AA,N153UW,526,14107,PHX,"Phoenix, AZ",14771,SFO,"San Francisco, CA",2025,2021.0,-4.0,25.0,2046.0,2216.0,4.0,2229,2220.0,-9.0,0.0,,0.0,N,124.0,119.0,90.0,1.0,651.0,,,,,,,,,
42,2019-03-07,WN,WN,WN,1534,WN,N745SW,1534,13495,MSY,"New Orleans, LA",10693,BNA,"Nashville, TN",1600,1609.0,9.0,14.0,1623.0,1731.0,4.0,1730,1735.0,5.0,0.0,,0.0,N,90.0,86.0,68.0,1.0,471.0,,,,,,,,,
43,2019-08-02,DL,DL,DL,925,DL,N365DN,925,12953,LGA,"New York, NY",13204,MCO,"Orlando, FL",934,938.0,4.0,32.0,1010.0,1250.0,9.0,1226,1259.0,33.0,0.0,,0.0,N,172.0,201.0,160.0,1.0,950.0,0.0,0.0,33.0,0.0,0.0,,,,
44,2019-07-10,AA,AA,AA,676,AA,N749US,676,11057,CLT,"Charlotte, NC",13931,ORF,"Norfolk, VA",1334,1341.0,7.0,20.0,1401.0,1445.0,6.0,1446,1451.0,5.0,0.0,,0.0,N,72.0,70.0,44.0,1.0,290.0,,,,,,,,,
45,2018-12-03,AA,AA_CODESHARE,AA,4781,PT,N624AE,4781,14100,PHL,"Philadelphia, PA",11042,CLE,"Cleveland, OH",1540,1537.0,-3.0,16.0,1553.0,1659.0,11.0,1727,1710.0,-17.0,0.0,,0.0,N,107.0,93.0,66.0,1.0,363.0,,,,,,,,,
46,2018-02-26,AA,AA,AA,265,AA,N126AN,265,12892,LAX,"Los Angeles, CA",12982,LIH,"Lihue, HI",945,939.0,-6.0,20.0,959.0,1337.0,5.0,1416,1342.0,-34.0,0.0,,0.0,N,391.0,363.0,338.0,1.0,2615.0,,,,,,,,,
47,2019-09-30,UA,UA_CODESHARE,UA,4434,EV,N13992,4434,15016,STL,"St. Louis, MO",11618,EWR,"Newark, NJ",945,1119.0,94.0,14.0,1133.0,1442.0,5.0,1320,1447.0,87.0,0.0,,0.0,N,155.0,148.0,129.0,1.0,872.0,87.0,0.0,0.0,0.0,0.0,,,,
48,2018-01-25,UA,UA,UA,1874,UA,N432UA,1874,12266,IAH,"Houston, TX",11292,DEN,"Denver, CO",1155,1222.0,27.0,13.0,1235.0,1329.0,4.0,1330,1333.0,3.0,0.0,,0.0,N,155.0,131.0,114.0,1.0,862.0,,,,,,,,,
49,2019-07-30,AA,AA_CODESHARE,AA,3967,MQ,N841AE,3967,12206,HRL,"Harlingen/San Benito, TX",11298,DFW,"Dallas/Fort Worth, TX",600,600.0,0.0,14.0,614.0,729.0,11.0,743,740.0,-3.0,0.0,,0.0,N,103.0,100.0,75.0,1.0,461.0,,,,,,,,,
50,2019-02-19,AA,AA,AA,1889,AA,N949UW,1889,14100,PHL,"Philadelphia, PA",13198,MCI,"Kansas City, MO",2105,2053.0,-12.0,16.0,2109.0,2258.0,5.0,2318,2303.0,-15.0,0.0,,0.0,N,193.0,190.0,169.0,1.0,1038.0,,,,,,,,,
51,2019-08-05,DL,DL_CODESHARE,DL,5747,CP,N628CZ,5747,11603,EUG,"Eugene, OR",14869,SLC,"Salt Lake City, UT",1315,1400.0,45.0,14.0,1414.0,1643.0,5.0,1605,1648.0,43.0,0.0,,0.0,N,110.0,108.0,89.0,1.0,618.0,6.0,0.0,0.0,0.0,37.0,,,,
52,2019-12-12,G4,G4,G4,59,G4,335NV,59,12889,LAS,"Las Vegas, NV",13256,MFE,"Mission/McAllen/Edinburg, TX",905,853.0,-12.0,15.0,908.0,1335.0,6.0,1354,1341.0,-13.0,0.0,,0.0,N,169.0,168.0,147.0,1.0,1210.0,,,,,,,,,
53,2019-05-08,F9,F9,F9,412,F9,N910FR,412,11292,DEN,"Denver, CO",13930,ORD,"Chicago, IL",2046,2121.0,35.0,17.0,2138.0,43.0,15.0,19,58.0,39.0,0.0,,0.0,N,153.0,157.0,125.0,1.0,888.0,19.0,0.0,4.0,0.0,16.0,,,,
54,2018-10-12,WN,WN,WN,1901,WN,N211WN,1901,10800,BUR,"Burbank, CA",14893,SMF,"Sacramento, CA",2000,2014.0,14.0,12.0,2026.0,2119.0,4.0,2115,2123.0,8.0,0.0,,0.0,N,75.0,69.0,53.0,1.0,358.0,,,,,,,,,
55,2019-06-08,UA,UA_CODESHARE,UA,3714,YX,N725YX,3714,14683,SAT,"San Antonio, TX",11618,EWR,"Newark, NJ",1225,1222.0,-3.0,16.0,1238.0,1707.0,6.0,1718,1713.0,-5.0,0.0,,0.0,N,233.0,231.0,209.0,1.0,1569.0,,,,,,,,,
56,2019-05-27,DL,DL,DL,2632,DL,N935AT,2632,13495,MSY,"New Orleans, LA",11433,DTW,"Detroit, MI",1801,1756.0,-5.0,11.0,1807.0,2113.0,7.0,2133,2120.0,-13.0,0.0,,0.0,N,152.0,144.0,126.0,1.0,926.0,,,,,,,,,
57,2018-11-14,UA,UA_CODESHARE,UA,3941,ZW,N432AW,3941,13930,ORD,"Chicago, IL",15016,STL,"St. Louis, MO",1545,1549.0,4.0,13.0,1602.0,1650.0,6.0,1703,1656.0,-7.0,0.0,,0.0,N,78.0,67.0,48.0,1.0,258.0,,,,,,,,,
58,2019-12-23,UA,UA_CODESHARE,UA,4781,AX,N16112,4781,11122,CPR,"Casper, WY",11292,DEN,"Denver, CO",1808,1830.0,22.0,9.0,1839.0,1919.0,8.0,1919,1927.0,8.0,0.0,,0.0,N,71.0,57.0,40.0,1.0,230.0,,,,,,,,,
59,2019-11-30,F9,F9,F9,278,F9,N351FR,278,11292,DEN,"Denver, CO",15016,STL,"St. Louis, MO",806,800.0,-6.0,20.0,820.0,1049.0,5.0,1110,1054.0,-16.0,0.0,,0.0,N,124.0,114.0,89.0,1.0,770.0,,,,,,,,,
60,2018-10-14,WN,WN,WN,4089,WN,N7737E,4089,12889,LAS,"Las Vegas, NV",11423,DSM,"Des Moines, IA",1150,1241.0,51.0,11.0,1252.0,1701.0,5.0,1640,1706.0,26.0,0.0,,0.0,N,170.0,145.0,129.0,1.0,1216.0,26.0,0.0,0.0,0.0,0.0,,,,
61,2018-05-11,AA,AA,AA,326,AA,N804NN,326,13204,MCO,"Orlando, FL",12892,LAX,"Los Angeles, CA",1130,1130.0,0.0,10.0,1140.0,1335.0,6.0,1401,1341.0,-20.0,0.0,,0.0,N,331.0,311.0,295.0,1.0,2218.0,,,,,,,,,
62,2019-12-13,HA,HA,HA,166,HA,N488HA,166,12173,HNL,"Honolulu, HI",13830,OGG,"Kahului, HI",800,752.0,-8.0,15.0,807.0,830.0,7.0,841,837.0,-4.0,0.0,,0.0,N,41.0,45.0,23.0,1.0,100.0,,,,,,,,,
63,2019-11-30,DL,DL_CODESHARE,DL,3738,OO,N438SW,3738,11641,FAY,"Fayetteville, NC",10397,ATL,"Atlanta, GA",1530,1527.0,-3.0,14.0,1541.0,1646.0,8.0,1705,1654.0,-11.0,0.0,,0.0,N,95.0,87.0,65.0,1.0,331.0,,,,,,,,,
64,2018-05-18,AS,AS,AS,222,AS,N236AK,222,14747,SEA,"Seattle, WA",14831,SJC,"San Jose, CA",555,551.0,-4.0,9.0,600.0,738.0,6.0,755,744.0,-11.0,0.0,,0.0,N,120.0,113.0,98.0,1.0,696.0,,,,,,,,,
65,2019-03-16,UA,UA,UA,641,UA,N854UA,641,12264,IAD,"Washington, DC",10721,BOS,"Boston, MA",825,823.0,-2.0,23.0,846.0,943.0,5.0,958,948.0,-10.0,0.0,,0.0,N,93.0,85.0,57.0,1.0,413.0,,,,,,,,,
66,2019-12-13,AS,AS_CODESHARE,AS,2074,QX,N651QX,2074,14747,SEA,"Seattle, WA",11648,FCA,"Kalispell, MT",950,948.0,-2.0,16.0,1004.0,1201.0,2.0,1220,1203.0,-17.0,0.0,,0.0,N,90.0,75.0,57.0,1.0,379.0,,,,,,,,,
67,2019-04-04,UA,UA,UA,1861,UA,N446UA,1861,12892,LAX,"Los Angeles, CA",12889,LAS,"Las Vegas, NV",600,554.0,-6.0,17.0,611.0,654.0,6.0,723,700.0,-23.0,0.0,,0.0,N,83.0,66.0,43.0,1.0,236.0,,,,,,,,,
68,2019-05-01,AA,AA_CODESHARE,AA,3413,MQ,N229NN,3413,12992,LIT,"Little Rock, AR",11298,DFW,"Dallas/Fort Worth, TX",2009,2124.0,75.0,25.0,2149.0,1315.0,12.0,2135,1327.0,,0.0,,1.0,N,86.0,,,1.0,304.0,,,,,,,,,
69,2019-11-16,B6,B6,B6,883,B6,N2016J,883,12478,JFK,"New York, NY",13204,MCO,"Orlando, FL",1557,1554.0,-3.0,25.0,1619.0,1837.0,10.0,1900,1847.0,-13.0,0.0,,0.0,N,183.0,173.0,138.0,1.0,944.0,,,,,,,,,
70,2018-06-29,B6,B6,B6,1035,B6,N659JB,1035,15024,STT,"Charlotte Amalie, VI",14843,SJU,"San Juan, PR",1303,1300.0,-3.0,12.0,1312.0,1336.0,5.0,1342,1341.0,-1.0,0.0,,0.0,N,39.0,41.0,24.0,1.0,68.0,,,,,,,,,
71,2018-06-09,AA,AA_CODESHARE,AA,3501,MQ,N650AE,3501,13930,ORD,"Chicago, IL",13871,OMA,"Omaha, NE",1207,1206.0,-1.0,39.0,1245.0,1358.0,5.0,1340,1403.0,23.0,0.0,,0.0,N,93.0,117.0,73.0,1.0,416.0,0.0,0.0,23.0,0.0,0.0,,,,
72,2019-02-25,B6,B6,B6,1289,B6,N507JT,1289,11618,EWR,"Newark, NJ",14843,SJU,"San Juan, PR",720,710.0,-10.0,18.0,728.0,1148.0,3.0,1214,1151.0,-23.0,0.0,,0.0,N,234.0,221.0,200.0,1.0,1608.0,,,,,,,,,
73,2018-03-24,AA,AA_CODESHARE,AA,3560,MQ,N247NN,3560,11298,DFW,"Dallas/Fort Worth, TX",12511,JLN,"Joplin, MO",1225,1220.0,-5.0,22.0,1242.0,1331.0,6.0,1340,1337.0,-3.0,0.0,,0.0,N,75.0,77.0,49.0,1.0,327.0,,,,,,,,,
74,2019-08-22,AA,AA,AA,1255,AA,N877NN,1255,13198,MCI,"Kansas City, MO",11298,DFW,"Dallas/Fort Worth, TX",1501,1507.0,6.0,12.0,1519.0,1626.0,5.0,1644,1631.0,-13.0,0.0,,0.0,N,103.0,84.0,67.0,1.0,460.0,,,,,,,,,
75,2019-10-26,AA,AA_CODESHARE,AA,3205,OO,N764SK,3205,13930,ORD,"Chicago, IL",10257,ALB,"Albany, NY",1830,1830.0,0.0,46.0,1916.0,2154.0,5.0,2139,2159.0,20.0,0.0,,0.0,N,129.0,149.0,98.0,1.0,723.0,0.0,0.0,20.0,0.0,0.0,,,,
76,2019-01-10,AA,AA_CODESHARE,AA,4638,YX,N408YX,4638,11057,CLT,"Charlotte, NC",11066,CMH,"Columbus, OH",735,726.0,-9.0,15.0,741.0,850.0,6.0,906,856.0,-10.0,0.0,,0.0,N,91.0,90.0,69.0,1.0,347.0,,,,,,,,,
77,2018-11-25,WN,WN,WN,6814,WN,N7723E,6814,10821,BWI,"Baltimore, MD",12451,JAX,"Jacksonville, FL",620,617.0,-3.0,9.0,626.0,807.0,4.0,825,811.0,-14.0,0.0,,0.0,N,125.0,114.0,101.0,1.0,663.0,,,,,,,,,
78,2019-05-30,DL,DL_CODESHARE,DL,6235,G7,N181GJ,6235,10721,BOS,"Boston, MA",14492,RDU,"Raleigh/Durham, NC",1712,1705.0,-7.0,24.0,1729.0,1920.0,13.0,1932,1933.0,1.0,0.0,,0.0,N,140.0,148.0,111.0,1.0,612.0,,,,,,,,,
79,2018-10-12,F9,F9,F9,1468,F9,N210FR,1468,10599,BHM,"Birmingham, AL",13204,MCO,"Orlando, FL",1759,1750.0,-9.0,17.0,1807.0,2012.0,8.0,2035,2020.0,-15.0,0.0,,0.0,N,96.0,90.0,65.0,1.0,479.0,,,,,,,,,
80,2018-03-16,UA,UA_CODESHARE,UA,3897,ZW,N459AW,3897,15412,TYS,"Knoxville, TN",13930,ORD,"Chicago, IL",1735,1731.0,-4.0,19.0,1750.0,1821.0,12.0,1832,1833.0,1.0,0.0,,0.0,N,117.0,122.0,91.0,1.0,475.0,,,,,,,,,
81,2019-06-21,DL,DL_CODESHARE,DL,3427,9E,N310PQ,3427,12478,JFK,"New York, NY",12264,IAD,"Washington, DC",1655,1702.0,7.0,24.0,1726.0,1814.0,4.0,1850,1818.0,-32.0,0.0,,0.0,N,115.0,76.0,48.0,1.0,228.0,,,,,,,,,
82,2019-05-24,AA,AA_CODESHARE,AA,4507,YX,N115HQ,4507,14100,PHL,"Philadelphia, PA",14321,PWM,"Portland, ME",2125,2115.0,-10.0,32.0,2147.0,2247.0,4.0,2252,2251.0,-1.0,0.0,,0.0,N,87.0,96.0,60.0,1.0,364.0,,,,,,,,,
83,2018-05-09,UA,UA,UA,310,UA,N39415,310,13930,ORD,"Chicago, IL",12892,LAX,"Los Angeles, CA",1135,1136.0,1.0,27.0,1203.0,1355.0,7.0,1402,1402.0,0.0,0.0,,0.0,N,267.0,266.0,232.0,1.0,1744.0,,,,,,,,,
84,2019-08-30,AA,AA_CODESHARE,AA,5972,YV,N929LR,5972,14107,PHX,"Phoenix, AZ",10800,BUR,"Burbank, CA",1417,1546.0,89.0,10.0,1556.0,1702.0,3.0,1545,1705.0,80.0,0.0,,0.0,N,88.0,79.0,66.0,1.0,369.0,80.0,0.0,0.0,0.0,0.0,,,,
85,2018-04-29,DL,DL,DL,1454,DL,N902DE,1454,10397,ATL,"Atlanta, GA",11986,GRR,"Grand Rapids, MI",1901,1859.0,-2.0,10.0,1909.0,2042.0,4.0,2053,2046.0,-7.0,0.0,,0.0,N,112.0,107.0,93.0,1.0,640.0,,,,,,,,,
86,2018-07-22,DL,DL,DL,1275,DL,N327DN,1275,14679,SAN,"San Diego, CA",11433,DTW,"Detroit, MI",1330,1327.0,-3.0,17.0,1344.0,2044.0,14.0,2056,2058.0,2.0,0.0,,0.0,N,266.0,271.0,240.0,1.0,1956.0,,,,,,,,,
87,2019-05-03,UA,UA,UA,1767,UA,N75853,1767,11292,DEN,"Denver, CO",11278,DCA,"Washington, DC",810,808.0,-2.0,19.0,827.0,1314.0,5.0,1329,1319.0,-10.0,0.0,,0.0,N,199.0,191.0,167.0,1.0,1476.0,,,,,,,,,
